Pages,Clicks,Impressions,CTR,Position
https://www.artsy.net/artist/george-grosz,595,36094,1.65%,5.8
https://www.artsy.net/artist/karel-appel,594,22338,2.66%,5.6
https://www.artsy.net/artist/roberto-matta,592,29064,2.04%,5.5
https://www.artsy.net/artist/candida-hofer,591,16468,3.59%,6.5
https://www.artsy.net/artist/raoul-dufy,589,40456,1.46%,6.8
https://www.artsy.net/artist/sandy-skoglund,589,19374,3.04%,5.0
https://www.artsy.net/artist/mike-kelley,588,36375,1.62%,6.5
https://www.artsy.net/artist/georg-baselitz,587,29303,2%,6.0
https://www.artsy.net/artist/rachel-whiteread,587,27379,2.14%,8.2
https://www.artsy.net/artist/nick-cave,585,32305,1.81%,9.8
https://www.artsy.net/artist/ernst-ludwig-kirchner,584,58743,0.99%,6.4
https://www.artsy.net/artist/sarah-lucas,582,25499,2.28%,6.4
https://www.artsy.net/artist/david-kracov,577,10100,5.71%,5.3
https://www.artsy.net/artist/saul-steinberg,576,27736,2.08%,6.7
https://www.artsy.net/artist/jose-santos-iii,576,2379,24.21%,3.8
https://www.artsy.net/artist/austin-lee,571,7353,7.77%,3.6
https://www.artsy.net/artist/stanley-whitney,571,10412,5.48%,4.9
https://www.artsy.net/artist/george-shaw,571,10373,5.5%,7.2
https://www.artsy.net/artist/rirkrit-tiravanija,570,17032,3.35%,4.4
https://www.artsy.net/artist/jim-shaw,569,13237,4.3%,4.7
https://www.artsy.net/artist/danny-fox,568,9968,5.7%,7.9
https://www.artsy.net/artist/zoya-cherkassky-nnadi,568,2732,20.79%,6.7
https://www.artsy.net/artist/brice-marden,566,26085,2.17%,4.7
https://www.artsy.net/artist/ron-hicks,565,17953,3.15%,5.2
https://www.artsy.net/artist/matthias-grunewald,565,16978,3.33%,6.6
https://www.artsy.net/artist/michelangelo-buonarroti,564,316129,0.18%,10
https://www.artsy.net/artist/damian-ortega,563,13615,4.14%,6.1
https://www.artsy.net/artist/mark-salvatus,563,4059,13.87%,4.0
https://www.artsy.net/artist/odilon-redon,563,58157,0.97%,5.5
https://www.artsy.net/artist/max-beckmann,560,51899,1.08%,6.2
https://www.artsy.net/artist/alex-israel,560,23668,2.37%,3.7
https://www.artsy.net/artist/yigal-ozeri,558,13315,4.19%,4.3
https://www.artsy.net/artist/richard-prince,557,34751,1.6%,8.4
https://www.artsy.net/artist/giorgio-laveri,556,2891,19.23%,2.6
https://www.artsy.net/artist/fernand-leger,555,51350,1.08%,6.2
https://www.artsy.net/artist/ori-gersht,554,7767,7.13%,4.4
https://www.artsy.net/artist/francis-newton-souza,552,15148,3.64%,6.2
https://www.artsy.net/artist/jean-pierre-hebert,549,11296,4.86%,7.0
https://www.artsy.net/artist/katherine-bradford-1,549,6655,8.25%,5.7
https://www.artsy.net/artist/takato-yamamoto,549,29303,1.87%,6.4
https://www.artsy.net/artist/albert-watson,546,24992,2.18%,5.8
https://www.artsy.net/artist/bill-viola,544,37471,1.45%,8.1
https://www.artsy.net/artist/njideka-akunyili-crosby,543,20546,2.64%,6.8
https://www.artsy.net/artist/beatriz-milhazes,541,22298,2.43%,6.1
https://www.artsy.net/artist/marilyn-minter,541,24665,2.19%,6.6
https://www.artsy.net/artist/peter-halley,538,16623,3.24%,4.8
https://www.artsy.net/artist/daisuke-yokota,538,6642,8.1%,4.8
https://www.artsy.net/artist/annie-morris,538,4538,11.86%,4.8
https://www.artsy.net/artist/awol-erizku,537,7660,7.01%,6.6
https://www.artsy.net/artist/jacob-lawrence,537,41168,1.3%,8.7
https://www.artsy.net/artist/daniel-arsham,536,19288,2.78%,8.1
https://www.artsy.net/artist/pat-steir,533,13599,3.92%,4.7
https://www.artsy.net/artist/todd-hido,531,29398,1.81%,5.9
https://www.artsy.net/artist/johnson-tsang,530,9547,5.55%,6.2
https://www.artsy.net/artist/miquel-barcelo,530,20883,2.54%,5.3
https://www.artsy.net/artist/hendrik-kerstens,528,12595,4.19%,4.2
https://www.artsy.net/artist/erwin-olaf,527,26994,1.95%,6.0
https://www.artsy.net/artist/vija-celmins,527,20370,2.59%,5.2
https://www.artsy.net/artist/thomas-campbell,525,10576,4.96%,7.4
https://www.artsy.net/artist/brassai,525,37728,1.39%,6.8
https://www.artsy.net/artist/daniel-richter,522,20361,2.56%,5.9
https://www.artsy.net/artist/stik,521,33701,1.55%,7.2
https://www.artsy.net/artist/adrian-ghenie,521,24780,2.1%,6.2
https://www.artsy.net/artist/helena-almeida,521,7616,6.84%,6.3
https://www.artsy.net/artist/stuart-davis,519,26437,1.96%,5.5
https://www.artsy.net/artist/douglas-gordon,517,18142,2.85%,6.9
https://www.artsy.net/artist/utagawa-hiroshige-ando-hiroshige,514,44839,1.15%,7.1
https://www.artsy.net/artist/evan-hecox,512,4060,12.61%,3.3
https://www.artsy.net/artist/kurt-schwitters,511,42422,1.2%,6.2
https://www.artsy.net/artist/mark-tansey,509,11086,4.59%,4.3
https://www.artsy.net/artist/jennifer-guidi,506,8017,6.31%,6.0
https://www.artsy.net/artist/toyin-ojih-odutola,506,12896,3.92%,5.1
https://www.artsy.net/artist/walker-evans,505,41492,1.22%,8.9
https://www.artsy.net/artist/max-ernst,503,104724,0.48%,7.9
https://www.artsy.net/artist/francis-picabia,503,36201,1.39%,6.2
https://www.artsy.net/artist/tony-cragg,503,39815,1.26%,7.0
https://www.artsy.net/artist/patricia-piccinini,503,26704,1.88%,7.1
https://www.artsy.net/artist/jeeyoung-lee-1,502,5667,8.86%,4.0
https://www.artsy.net/artist/deborah-butterfield,501,13416,3.73%,6.1
https://www.artsy.net/artist/lei-xue,500,3569,14.01%,5.8
https://www.artsy.net/artist/meret-oppenheim,500,199406,0.25%,6.0
https://www.artsy.net/artist/ugo-rondinone,499,18889,2.64%,5.3
https://www.artsy.net/artist/david-wojnarowicz,499,19544,2.55%,4.5
https://www.artsy.net/artist/john-chamberlain,497,18658,2.66%,5.6
https://www.artsy.net/artist/marco-mazzoni,497,13182,3.77%,5.3
https://www.artsy.net/artist/genieve-figgis,495,7542,6.56%,4.8
https://www.artsy.net/artist/larry-poons,494,14033,3.52%,4.3
https://www.artsy.net/artist/juergen-teller,493,31910,1.54%,7.4
https://www.artsy.net/artist/eric-fischl,493,25313,1.95%,5.2
https://www.artsy.net/artist/lucian-freud,493,69497,0.71%,7.9
https://www.artsy.net/artist/maria-taniguchi,492,2995,16.43%,6.1
https://www.artsy.net/artist/carlos-almaraz,491,12016,4.09%,5.4
https://www.artsy.net/artist/christian-marclay,490,14251,3.44%,5.5
https://www.artsy.net/artist/hans-bellmer,490,34652,1.41%,5.6
https://www.artsy.net/artist/maggie-taylor,490,12704,3.86%,4.3
https://www.artsy.net/artist/david-smith,490,36212,1.35%,7.2
https://www.artsy.net/artist/dan-colen,489,37295,1.31%,4.8
https://www.artsy.net/artist/barnett-newman,488,58555,0.83%,6.2
https://www.artsy.net/artist/marc-quinn,487,34573,1.41%,6.7
https://www.artsy.net/artist/adam-wallacavage,487,3903,12.48%,17
https://www.artsy.net/artist/paula-rego,487,29427,1.65%,6.9
