,Clicks,Impressions,inquiry_requests_count,bid_count,on_artsy,search_volume,artist_slug,domain,gallery_tier,lead_id,account_id,min_distance_to_art_city,partner_on_artsy
3787,,,0.0,6.0,1.0,110.0,10,optica.ca,,00QC000001eiXzEMAU,,3266.3313855062092,False
3790,442.0,18214.0,557.0,31.0,4.0,1070.0,22,oredaria.it,,,,244.4254022738327,False
3791,,,0.0,2.0,1.0,140.0,20,org.nsw.gov.au,,00QC000001k6im2MAA,,4470.034182664733,False
3792,,,407.0,33.0,7.0,2710.0,9,originaldesign.fr,,00QC000001eh8TPMAY,,3217.2964301211628,False
3794,10413.0,1319822.0,2486.0,573.0,10.0,60310.0,25,orlando-gmbh.ch,,00QC000001k6imBMAQ,,3217.2964301211628,False
3795,1770.0,90872.0,1052.0,317.0,4.0,5280.0,16,orler.it,,00QC000001ejFL8MAM,,3217.2964301211628,False
3799,6289.0,392579.0,2968.0,714.0,2.0,26900.0,4,oscarartprinters.co.il,,00QC000001ehRUPMA2,,3217.2964301211628,False
3805,,,21.0,1.0,1.0,280.0,14,osterwaldersartoffice.com,,00QC000001ejEGqMAM,,160.51040419355397,False
3813,2340.0,1662673.0,2719.0,405.0,1.0,110000.0,12,outpost-of-progress.com,,00QC000001ehXJSMA2,,199.2609814681726,False
3814,1400.0,45556.0,496.0,51.0,2.0,10330.0,26,outregallery.com,,00QC000001ej8h2MAA,,3217.2964301211628,False
3815,326.0,6354.0,31.0,0.0,1.0,2330.0,16,outsiderfolkart.com,,00QC000001eiic2MAA,,3217.2964301211628,False
3816,16241.0,1316404.0,15932.0,2603.0,9.0,93200.0,25,outsidethesquaregallery.com,,00QC000001k6imZMAQ,,3217.2964301211628,False
3817,,,32.0,1.0,1.0,320.0,24,overallpicture.com,,00QC000001eiBB5MAM,,4575.721018598023,False
3820,804.0,15958.0,56.0,6.0,3.0,2520.0,15,overtonesgallery.com,,00QC000001ehNv2MAE,,3217.2964301211628,False
3826,,,51.0,0.0,2.0,980.0,6,p3exhibitions.com,,00QC000001aF09YMAS,,14.46344651435185,False
3836,,,3.0,0.0,1.0,390.0,4,packardgallery.com,,00QC000001ehIEaMAM,,3217.2964301211628,False
3838,,,5.0,2.0,3.0,90.0,23,pageandstrange.com,,00QC000001ehWWkMAM,,2894.3758263744194,False
3853,1608.0,58893.0,945.0,42.0,12.0,8520.0,26,paolocurti.com,,00QC000001aF023MAC,,152.1531906659529,False
3863,369.0,14418.0,189.0,23.0,3.0,2300.0,24,parcsaintleger.fr,,00QC000001eiNDDMA2,,127.66089257597807,False
3866,362.0,19296.0,222.0,37.0,2.0,5250.0,17,parisbeijingphotogallery.com,,,,3217.2964301211628,False
3876,1697.0,22476.0,791.0,80.0,3.0,3580.0,25,parlourdoor.com,,00QC000001ehPZ3MAM,,3217.2964301211628,False
3880,,,18.0,0.0,2.0,3150.0,25,parsonsart.com,,00QC000001ej8rlMAA,,3217.2964301211628,False
3882,958.0,38344.0,1615.0,185.0,1.0,1600.0,16,pas-edition.com,,00QC000001eiAAoMAM,,3217.2964301211628,False
3885,7599.0,942739.0,1504.0,435.0,13.0,73400.0,52,pasqualeart.com,,,,3217.2964301211628,False
3886,23897.0,4117589.0,7999.0,1097.0,14.0,306490.0,26,passion-estampes.com,,00QC000001eik4qMAA,,3217.2964301211628,False
3888,,,126.0,6.0,4.0,1770.0,7,patinae.com,,00QC000001ehX4SMAU,,3217.2964301211628,False
3898,1475.0,68306.0,405.0,39.0,8.0,8650.0,25,patsfallgraphics.com,,00QC000001ej6hUMAQ,,3217.2964301211628,False
3900,544.0,26472.0,243.0,15.0,7.0,10010.0,25,paulberlanga.com,,,,3217.2964301211628,False
3907,,,0.0,0.0,3.0,260.0,23,paulo-santos.com,,00QC000001ehRF7MAM,,903.3347327902688,False
3909,,,2.0,0.0,1.0,140.0,5,paulrodgers9w.com,,00QC000001ei8CsMAI,,3217.2964301211628,False
3918,,,36.0,12.0,1.0,390.0,25,peabodyfineart.com,,00QC000001bba4aMAA,,3217.2964301211628,False
3920,,,4.0,13.0,2.0,700.0,23,pearlartsgallery.com,,00QC000001ehVCvMAM,,3217.2964301211628,False
3922,,,123.0,12.0,4.0,2990.0,25,peccolo.blogspot.it,,00QC000001eh8VLMAY,,3217.2964301211628,False
3925,,,10.0,19.0,4.0,660.0,24,pegasusgallery.ca,,00QC000001XiaBtMAJ,,3217.2964301211628,False
3929,686.0,81175.0,457.0,71.0,1.0,72430.0,26,penrickcollections.com,,00QC000001eihoMMAQ,,3217.2964301211628,False
3930,439.0,25744.0,387.0,23.0,2.0,1600.0,17,pentictonartgallery.com,,00QC000001eil7XMAQ,,4524.863590055103,False
3933,,,4.0,0.0,1.0,740.0,6,pepinmoore.com,,00QC000001k6infMAA,,3217.2964301211628,False
3934,,,53.0,5.0,1.0,590.0,24,perceptionpark.com,,,001C000001WBXWHIA5,3217.2964301211628,False
3937,2570.0,105477.0,446.0,63.0,6.0,25900.0,25,peresvetovgallery.ru,,00QC000001k6iniMAA,,3217.2964301211628,False
3941,,,44.0,0.0,1.0,1230.0,11,persiehl-heine.de,,,,3217.2964301211628,False
3947,,,17.0,0.0,2.0,110.0,25,petergallery.it,,00QC000001ehc0nMAA,,3217.2964301211628,False
3961,3511.0,186596.0,1884.0,56.0,10.0,10160.0,12,pgfinearts.com,,,,3217.2964301211628,False
3964,10279.0,3963147.0,426.0,20.0,3.0,220170.0,22,pgm.de,,00QC000001eiPndMAE,,157.3792183773302,False
3967,,,4.0,0.0,1.0,90.0,25,phantomgalleriesla.com,,00QC000001eikl1MAA,,3217.2964301211628,False
3970,505.0,31681.0,386.0,24.0,11.0,10240.0,27,philgallery.net,,00QC000001k6io1MAA,,5164.771968556156,False
3977,,,0.0,1.0,1.0,2900.0,15,phoneboothgallery.com,,00QC000001k6io9MAA,,3217.2964301211628,False
3978,1065.0,100968.0,321.0,116.0,2.0,5990.0,7,photoconnexion.com,,00QC000001eiAXnMAM,,3217.2964301211628,False
3982,5635.0,198681.0,638.0,163.0,14.0,19760.0,25,photoforumgallery.com,,00QC000001bbZa7MAE,,3217.2964301211628,False
3984,1675.0,101199.0,421.0,102.0,7.0,22430.0,18,photography-now.de,,00QC000001ejPOcMAM,,3217.2964301211628,False
3988,21101.0,557946.0,1858.0,68.0,6.0,35200.0,8,photology.com,,00QC000001ej5PZMAY,,3217.2964301211628,False
3989,9690.0,249168.0,1827.0,73.0,6.0,9490.0,25,photonetgalerie.de,,,,3217.2964301211628,False
3992,412.0,113043.0,86.0,5.0,3.0,36730.0,10,phylliselliottgallery.com,,,,3217.2964301211628,False
3993,822.0,20030.0,63.0,1.0,2.0,5760.0,24,phylliskindgallery.com,,00QC000001eiYQZMA2,,3481.5138307733705,False
3996,369.0,14418.0,236.0,23.0,4.0,50390.0,25,pica.org,,00QC000001k6f0TMAQ,,4536.761572045484,False
3998,323.0,6480.0,16.0,0.0,4.0,210.0,25,piccolagalleria.com,,00QC000001eiXxhMAE,,3217.2964301211628,False
4000,3324.0,456426.0,267.0,41.0,1.0,55290.0,23,picturepeddler.net,,00QC000001ehbzRMAQ,,3217.2964301211628,False
4001,17639.0,983565.0,2308.0,142.0,14.0,98410.0,25,pier24.org,,00QC000001k6g6MMAQ,,3217.2964301211628,False
4002,3558.0,133940.0,950.0,92.0,3.0,19010.0,25,piercegalleries.com,,00QC000001ei8K4MAI,,3217.2964301211628,False
4008,4564.0,411828.0,1298.0,307.0,1.0,18420.0,24,pigmento.ch,,00QC000001eh8VfMAI,,3217.2964301211628,False
4012,,,462.0,11.0,8.0,140.0,23,pinacotecamarsala.it,,00QC000001k6ioPMAQ,,3217.2964301211628,False
